"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",,"Distance to Parks"
"06","California","06039","Madera","2015","38.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06039","Madera","2020","39.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06041","Marin","2010","65.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06041","Marin","2015","94.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06041","Marin","2020","95.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06043","Mariposa","2010","8.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06043","Mariposa","2015","54.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06043","Mariposa","2020","52.9%","",,"Distance to Parks: 1/2 Mile"
"06","California","06045","Mendocino","2010","13.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06045","Mendocino","2015","42.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06045","Mendocino","2020","45.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06047","Merced","2010","28.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06047","Merced","2015","45.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06047","Merced","2020","55.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06049","Modoc","2010","2.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06049","Modoc","2015","55.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06049","Modoc","2020","63.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06051","Mono","2010","4.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06051","Mono","2015","99.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06051","Mono","2020","99.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06053","Monterey","2010","52.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06053","Monterey","2015","70.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06053","Monterey","2020","75.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06055","Napa","2010","54.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06055","Napa","2015","73.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06055","Napa","2020","75.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06057","Nevada","2010","12.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06057","Nevada","2015","49.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06057","Nevada","2020","53.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06059","Orange","2010","76.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06059","Orange","2015","89.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06059","Orange","2020","91.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06061","Placer","2010","54.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06061","Placer","2015","73.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06061","Placer","2020","74.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06063","Plumas","2010","3.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06063","Plumas","2015","90.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06063","Plumas","2020","91.5%","",,"Distance to Parks: 1/2 Mile"
